"","retrieve_date","create_date","body","num_reply","num_retweets","num_quote","num_likes","id","afinn","pos_bing","neg_bing","bing","word_count","sentimentr"
"97",2020-12-03,2020-09-08,"Because of the China Virus, my Campaign, which has raised a lot of money, was forced to spend in order to counter the Fake News reporting about the way we handled it (China Ban, etc.). We did, and are doing, a GREAT job, and have a lot of money left over, much more than 2016....",17.3,20.3,1.8,93.4,97,-1.5,0.5,1,-0.5,54,-0.0132717984013963
"98",2020-12-03,2020-09-13,"I am running for re-election to bring prosperity to Nevada, to put violent criminals behind bars, and to ensure the future belongs to AMERICA—NOT China. If we win, AMERICA WINS! If Biden wins, China wins. If Biden Wins, the rioters, anarchists, and arsonists win. VOTE! #MAGA",21.1,32.6,2.3,128,98,3.16666666666667,1.16666666666667,0.166666666666667,1,48,0.226054821151986
"99",2020-12-03,2020-09-16,"Democrats are “heartless”. They don’t want to give STIMULUS PAYMENTS to people who desperately need the money, and whose fault it was NOT that the plague came in from China. Go for the much higher numbers, Republicans, it all comes back to the USA anyway (one way or another!).",31.4,29.9,3.3,110.9,99,-0.666666666666667,0,1.33333333333333,-1.33333333333333,50,-0.095241556820008
"100",2020-12-03,2020-09-17,"Replying to @realDonaldTrump...China as a “positive development” for America and the world. If it were up to Joe, bin Laden and Soleimani would still be alive, ISIS would be still on the rampage, and China would now be the dominant power in the world – not America.",5.7,16.9,0.477,67.8,100,1,0.333333333333333,0.333333333333333,0,47,-0.0101152445023998
"101",2020-12-03,2020-09-18,"Biden FAILED BADLY with the Swine Flu. It was the Gang That Couldn’t Shoot Straight”.  He didn’t have a clue. We have done an incredible job with the much tougher China Virus!",39.9,23.5,5.4,111.6,101,-1.75,0.5,0.75,-0.25,34,-0.30366449462676
"102",2020-12-03,2020-09-18,"Sleepy Joe Biden just said that he wished I closed up one week earlier — but when I banned China from coming in, it took him TWO MONTHS to finally realize that was a good thing...",10.7,23.4,1,106.4,102,1,1,0,1,35,-0.185933936040274
"103",2020-12-03,2020-09-18,"Joe Biden says this is a race between Scranton and Park Avenue. This is a race between Scranton and China. Joe Biden betrayed Scranton, and America, to China and foreign countries. I will always put America First!",22.1,37.5,2.1,152.2,103,-0.75,NA,NA,NA,37,-0.173090587819927
"104",2020-12-03,2020-09-18,"Joe Biden delivered remarks to union members after spending 47 years giving their jobs to China and foreign countries in exchange for campaign cash...",8.6,25.7,897,101.5,104,NA,NA,NA,NA,23,0.135534369137099
"105",2020-12-03,2020-09-18,"Replying to @realDonaldTrump...Biden is a corrupt globalist sellout who never missed a chance to stab American workers in the back. If Biden wins, China wins – it’s just that simple!",7.4,19.3,0.835,74,105,2,0.666666666666667,1,-0.333333333333333,31,0.174049410864484
"106",2020-12-03,2020-09-18,"Replying to @realDonaldTrump...Obama killed the pharmaceutical manufacturing business in Puerto Rico. We are bringing it back from China and other faraway lands.",8.1,17.3,0.745,77,106,-1,0,0.333333333333333,-0.333333333333333,23,-0.146473856205434
